Gene,Non-unique Gene name,Annotation,No. isolates,No. sequences,Avg sequences per isolate,Genome Fragment,Order within Fragment,Accessory Fragment,Accessory Order with Fragment,QC,Min group size nuc,Max group size nuc,Avg group size nuc,CI-1049,CI-1104,CI-8010,CI-8050,DFI-250,DFI-266,EF-W12,EF-W2,EF-W3,EF-W4,EF-W5,EF-W6,EF-W8
group_3021,,Cytosolic protein,12,12,1.0,1,4467,,,,216,252,246.0,FHNNJA_03145,CJHMOJ_11450,HCJMML_12615,,JEILEN_12785,JBIPMC_12720,PEDMFB_03145,PMCJLP_11295,MIJGKE_03145,JCNBHB_03145,CGGMPE_03145,LOEDCI_12630,FNCLAJ_11570
group_3018,,Fructose PTS transporter subunit IIA,12,12,1.0,1,4462,,,,450,450,450.0,FHNNJA_07800,CJHMOJ_06620,HCJMML_07060,,JEILEN_07335,JBIPMC_07135,PEDMFB_08150,PMCJLP_06790,MIJGKE_08155,JCNBHB_08155,CGGMPE_08150,LOEDCI_06980,FNCLAJ_06785
tcpF,tcpF,NAD(+) hydrolase TcpF,12,12,1.0,1,4436,,,,630,825,808.75,FHNNJA_05975,CJHMOJ_08475,HCJMML_09140,LIMHLO_07635,,JBIPMC_09225,PEDMFB_06145,PMCJLP_08630,MIJGKE_06150,JCNBHB_06150,CGGMPE_06145,LOEDCI_08995,FNCLAJ_08625
argA,argA,N-acetylglutamate synthase or related acetyltransferase GNAT family,12,12,1.0,1,4435,,,,477,489,483.0,FHNNJA_06145,CJHMOJ_08300,HCJMML_08960,,JEILEN_08990,JBIPMC_09045,PEDMFB_06325,PMCJLP_08460,MIJGKE_06330,JCNBHB_06330,CGGMPE_06325,LOEDCI_08825,FNCLAJ_08455
mcr1,mcr1,NAD(P)H-flavin reductase,12,12,1.0,1,4427,,,,840,861,847.0,FHNNJA_04190,CJHMOJ_10365,HCJMML_11285,,JEILEN_11430,JBIPMC_11390,PEDMFB_04260,PMCJLP_10200,MIJGKE_04260,JCNBHB_04260,CGGMPE_04260,LOEDCI_11555,FNCLAJ_10470
ydeE,ydeE,putative transcriptional regulator YdeE contains AraC-type DNA-binding domain,12,12,1.0,1,4403,,,,864,864,864.0,FHNNJA_05755,CJHMOJ_08990,HCJMML_09650,,JEILEN_09640,JBIPMC_09740,PEDMFB_05920,PMCJLP_08845,MIJGKE_05925,JCNBHB_05925,CGGMPE_05920,LOEDCI_09500,FNCLAJ_09110
xis,xis,Excisionase from transposon Tn1545,12,12,1.0,1,3946,,,,204,204,204.0,FHNNJA_09090,CJHMOJ_03080,HCJMML_04590,,JEILEN_04590,JBIPMC_04645,PEDMFB_15075,PMCJLP_14000,MIJGKE_15010,JCNBHB_15015,CGGMPE_14715,LOEDCI_14690,FNCLAJ_14270
group_2543,,hypothetical protein,12,12,1.0,1,3937,,,,207,207,207.0,FHNNJA_08800,CJHMOJ_05630,HCJMML_06105,,JEILEN_06360,JBIPMC_06165,6_refound_37,PMCJLP_05790,8_refound_46,JCNBHB_09060,CGGMPE_09055,LOEDCI_06010,FNCLAJ_05795
group_2489,,Conjugative transposon protein,12,12,1.0,1,3875,,,,222,222,222.0,FHNNJA_09030,CJHMOJ_03020,HCJMML_04530,,JEILEN_04530,JBIPMC_04585,PEDMFB_15015,PMCJLP_14060,MIJGKE_14950,JCNBHB_14955,CGGMPE_14655,LOEDCI_14745,FNCLAJ_14330
group_2445,,Helix-turn-helix conjugative transposon-like domain-containing protein,12,12,1.0,1,3830,,,,231,231,231.0,FHNNJA_09085,CJHMOJ_03075,HCJMML_04585,,JEILEN_04585,JBIPMC_04640,PEDMFB_15070,PMCJLP_14005,MIJGKE_15005,JCNBHB_15010,CGGMPE_14710,LOEDCI_14695,FNCLAJ_14275
group_2277,,hypothetical protein,12,12,1.0,1,3620,,,,294,294,294.0,FHNNJA_09670,CJHMOJ_04720,HCJMML_05300,,JEILEN_05295,JBIPMC_05355,PEDMFB_09850,PMCJLP_05010,MIJGKE_09855,JCNBHB_09860,CGGMPE_09855,LOEDCI_05210,FNCLAJ_05015
group_2246,,DUF898 domain-containing protein,12,12,1.0,1,3579,,,,306,306,306.0,FHNNJA_09645,CJHMOJ_04870,HCJMML_05335,,JEILEN_05575,JBIPMC_05390,PEDMFB_09815,PMCJLP_05035,MIJGKE_09820,JCNBHB_09825,CGGMPE_09820,LOEDCI_05230,FNCLAJ_05040
group_2218,,DUF961 domain-containing protein,12,12,1.0,1,3539,,,,315,315,315.0,FHNNJA_09010,CJHMOJ_03000,HCJMML_04510,,JEILEN_04510,JBIPMC_04565,PEDMFB_14995,PMCJLP_14080,MIJGKE_14930,JCNBHB_14935,CGGMPE_14635,LOEDCI_14765,FNCLAJ_14350
group_2207,,PTS system Fru family IIB component,12,12,1.0,1,3525,,,,318,318,318.0,FHNNJA_07805,CJHMOJ_06615,HCJMML_07055,,JEILEN_07330,JBIPMC_07130,PEDMFB_08155,PMCJLP_06785,MIJGKE_08160,JCNBHB_08160,CGGMPE_08155,LOEDCI_06975,FNCLAJ_06780
group_2081,xRE,DNA-binding transcriptional regulator XRE-family HTH domain,12,12,1.0,1,3370,,,,354,354,354.0,FHNNJA_09075,CJHMOJ_03065,HCJMML_04575,,JEILEN_04575,JBIPMC_04630,PEDMFB_15060,PMCJLP_14015,MIJGKE_14995,JCNBHB_15000,CGGMPE_14700,LOEDCI_14705,FNCLAJ_14285
modE,modE,DNA-binding transcriptional regulator ModE (molybdenum-dependent),12,12,1.0,1,3343,,,,360,360,360.0,FHNNJA_04135,CJHMOJ_10420,HCJMML_11340,,JEILEN_11480,JBIPMC_11440,PEDMFB_04200,PMCJLP_10260,MIJGKE_04200,JCNBHB_04200,CGGMPE_04200,LOEDCI_11610,FNCLAJ_10530
group_2054,,hypothetical protein,12,12,1.0,1,3333,,,,363,363,363.0,FHNNJA_09460,CJHMOJ_05050,HCJMML_05520,,JEILEN_05755,JBIPMC_05570,PEDMFB_09635,PMCJLP_05215,MIJGKE_09640,JCNBHB_09645,CGGMPE_09640,LOEDCI_05410,FNCLAJ_05220
vOC,vOC,Lactoylglutathione lyase-related enzyme vicinal oxygen chelate (VOC) family,12,12,1.0,1,3290,,,,375,375,375.0,FHNNJA_06220,CJHMOJ_08220,HCJMML_08885,,JEILEN_08910,JBIPMC_08965,PEDMFB_06400,PMCJLP_08385,MIJGKE_06405,JCNBHB_06405,CGGMPE_06400,LOEDCI_08750,FNCLAJ_08380
group_2004,,PH domain-containing protein,12,12,1.0,1,3271,,,,381,381,381.0,FHNNJA_05375,CJHMOJ_09360,HCJMML_10020,,JEILEN_10310,JBIPMC_10110,PEDMFB_05240,PMCJLP_09215,MIJGKE_05245,JCNBHB_05245,CGGMPE_05240,LOEDCI_10170,FNCLAJ_09480
ridA,ridA,Enamine deaminase RidA house cleaning of reactive enamine intermediates YjgF/YER057c/UK114 family,12,12,1.0,1,3269,,,,381,381,381.0,FHNNJA_04125,CJHMOJ_10430,HCJMML_11350,,JEILEN_11490,JBIPMC_11450,PEDMFB_04190,PMCJLP_10270,MIJGKE_04190,JCNBHB_04190,CGGMPE_04190,LOEDCI_11620,FNCLAJ_10540
group_1995,,Conjugative transposon protein,12,12,1.0,1,3260,,,,384,384,384.0,FHNNJA_09015,CJHMOJ_03005,HCJMML_04515,,JEILEN_04515,JBIPMC_04570,PEDMFB_15000,PMCJLP_14075,MIJGKE_14935,JCNBHB_14940,CGGMPE_14640,LOEDCI_14760,FNCLAJ_14345
group_1972,,Enterocin A Immunity,12,12,1.0,1,3234,,,,390,390,390.0,FHNNJA_07900,CJHMOJ_06520,HCJMML_06965,,JEILEN_07240,JBIPMC_07040,PEDMFB_08245,PMCJLP_06695,MIJGKE_08250,JCNBHB_08250,CGGMPE_08245,LOEDCI_06885,FNCLAJ_06690
group_1889,rpoE,DNA-directed RNA polymerase specialized sigma subunit sigma24 family,12,12,1.0,1,3128,,,,423,423,423.0,FHNNJA_09080,CJHMOJ_03070,HCJMML_04580,,JEILEN_04580,JBIPMC_04635,PEDMFB_15065,PMCJLP_14010,MIJGKE_15000,JCNBHB_15005,CGGMPE_14705,LOEDCI_14700,FNCLAJ_14280
fldA,fldA,flavodoxin,12,12,1.0,1,3002,,,,465,465,465.0,FHNNJA_04185,CJHMOJ_10370,HCJMML_11290,,JEILEN_11435,JBIPMC_11395,PEDMFB_04255,PMCJLP_10205,MIJGKE_04255,JCNBHB_04255,CGGMPE_04255,LOEDCI_11560,FNCLAJ_10475
group_1796,,Acetyltransferase,12,12,1.0,1,3000,,,,465,465,465.0,FHNNJA_11240,CJHMOJ_03465,HCJMML_03975,,JEILEN_03955,JBIPMC_04020,PEDMFB_11375,PMCJLP_03770,MIJGKE_11375,JCNBHB_11385,CGGMPE_11085,LOEDCI_03930,FNCLAJ_03775
group_1795,,PTS mannose transporter subunit IIA,12,12,1.0,1,2998,,,,465,465,465.0,FHNNJA_05990,CJHMOJ_08460,HCJMML_09125,,JEILEN_09145,JBIPMC_09210,PEDMFB_06160,PMCJLP_08615,MIJGKE_06165,JCNBHB_06165,CGGMPE_06160,LOEDCI_08980,FNCLAJ_08610
yndB,yndB,Chalcone/flavanone-binding protein YndB AHSA1/START/SRPBCC domain,12,12,1.0,1,2936,,,,483,483,483.0,FHNNJA_05030,CJHMOJ_09415,HCJMML_10075,,JEILEN_10365,JBIPMC_10165,PEDMFB_05185,PMCJLP_09270,MIJGKE_05190,JCNBHB_05190,CGGMPE_05185,LOEDCI_10555,FNCLAJ_09535
group_1725,ardA,Antirestriction protein ArdA,12,12,1.0,1,2891,,,,498,498,498.0,FHNNJA_09035,CJHMOJ_03025,HCJMML_04535,,JEILEN_04535,JBIPMC_04590,PEDMFB_15020,PMCJLP_14055,MIJGKE_14955,JCNBHB_14960,CGGMPE_14660,LOEDCI_14740,FNCLAJ_14325
group_1704,,Sigma-70 region 2,12,12,1.0,1,2860,,,,510,510,510.0,FHNNJA_07895,CJHMOJ_06525,HCJMML_06970,,JEILEN_07245,JBIPMC_07045,PEDMFB_08240,PMCJLP_06700,MIJGKE_08245,JCNBHB_08245,CGGMPE_08240,LOEDCI_06890,FNCLAJ_06695
lemA,lemA,Magnetosome formation protein MamQ lipoprotein antigen LemA family,12,12,1.0,1,2709,,,,570,570,570.0,FHNNJA_13035,CJHMOJ_02160,HCJMML_01950,LIMHLO_01805,,JBIPMC_01965,PEDMFB_13810,PMCJLP_01895,MIJGKE_13745,JCNBHB_13750,CGGMPE_13450,LOEDCI_02170,FNCLAJ_01895
group_1531,acrR,DNA-binding protein AcrR family includes nucleoid occlusion protein SlmA,12,12,1.0,1,2617,,,,606,606,606.0,FHNNJA_11590,CJHMOJ_03130,HCJMML_03680,LIMHLO_02655,JEILEN_03670,JBIPMC_03720,PEDMFB_11710,PMCJLP_03435,MIJGKE_11710,JCNBHB_11720,CGGMPE_11420,,FNCLAJ_03440
group_1353,,Glucose-6-phosphate 1-dehydrogenase,12,12,1.0,1,2343,,,,657,672,662.0,FHNNJA_02500,CJHMOJ_12405,HCJMML_13365,LIMHLO_10940,JEILEN_13735,JBIPMC_13470,PEDMFB_02170,PMCJLP_12230,MIJGKE_02170,JCNBHB_02170,CGGMPE_02170,,FNCLAJ_12505
queT,queT,ECF-type transporter of queuosine precursor membrane (S) component,12,12,1.0,1,2181,,,,522,636,560.0,FHNNJA_06535,,HCJMML_08270,LIMHLO_07130,JEILEN_08605,JBIPMC_08350,PEDMFB_06905,PMCJLP_08015,MIJGKE_06910,JCNBHB_06910,CGGMPE_06905,LOEDCI_08245,FNCLAJ_08010
group_1187,manY,Phosphotransferase system mannose/fructose/N-acetylgalactosamine-specific IIC component,12,12,1.0,1,2085,,,,792,792,792.0,FHNNJA_06000,CJHMOJ_08450,HCJMML_09115,,JEILEN_09135,JBIPMC_09200,PEDMFB_06170,PMCJLP_08605,MIJGKE_06175,JCNBHB_06175,CGGMPE_06170,LOEDCI_08970,FNCLAJ_08600
group_1081,manZ,Phosphotransferase system mannose/fructose/N-acetylgalactosamine-specific IID component,12,12,1.0,1,1947,,,,834,834,834.0,FHNNJA_06005,CJHMOJ_08445,HCJMML_09110,,JEILEN_09130,JBIPMC_09195,PEDMFB_06175,PMCJLP_08600,MIJGKE_06180,JCNBHB_06180,CGGMPE_06175,LOEDCI_08965,FNCLAJ_08595
licT,licT,Transcription antiterminator LicT,12,12,1.0,1,1922,,,,843,843,843.0,FHNNJA_13720,CJHMOJ_01225,HCJMML_01345,LIMHLO_01180,JEILEN_01365,JBIPMC_01355,PEDMFB_01185,PMCJLP_01230,MIJGKE_01185,JCNBHB_01185,CGGMPE_01185,,FNCLAJ_01230
group_1017,lysR,DNA-binding transcriptional regulator LysR family,12,12,1.0,1,1848,,,,855,855,855.0,FHNNJA_06285,CJHMOJ_08030,HCJMML_08455,LIMHLO_07385,,JBIPMC_08535,PEDMFB_06720,PMCJLP_08200,MIJGKE_06725,JCNBHB_06725,CGGMPE_06720,LOEDCI_08430,FNCLAJ_08195
rihC,rihC,ribonucleoside hydrolase RihC,12,12,1.0,1,1701,,,,921,921,921.0,FHNNJA_06135,CJHMOJ_08310,HCJMML_08970,,JEILEN_09000,JBIPMC_09055,PEDMFB_06315,PMCJLP_08470,MIJGKE_06320,JCNBHB_06320,CGGMPE_06315,LOEDCI_08835,FNCLAJ_08465
ycbJ,ycbJ,putative kinase aminoglycoside phosphotransferase (APT) family,12,12,1.0,1,1668,,,,930,930,930.0,FHNNJA_10045,CJHMOJ_04335,HCJMML_04930,,JEILEN_04930,JBIPMC_04985,PEDMFB_10225,PMCJLP_04635,MIJGKE_10230,JCNBHB_10235,CGGMPE_10230,LOEDCI_04835,FNCLAJ_04640
pplA,pplA,extracellular electron transfer flavoprotein PplA,12,12,1.0,1,1663,,,,930,930,930.0,FHNNJA_01425,CJHMOJ_13850,HCJMML_14445,,JEILEN_14840,JBIPMC_14545,PEDMFB_14670,PMCJLP_13670,MIJGKE_14605,JCNBHB_14610,CGGMPE_14310,LOEDCI_14370,FNCLAJ_13940
tcpC,tcpC,Conjugative transposon protein TcpC,12,12,1.0,1,1652,,,,936,936,936.0,FHNNJA_09055,CJHMOJ_03045,HCJMML_04555,,JEILEN_04555,JBIPMC_04610,PEDMFB_15040,PMCJLP_14035,MIJGKE_14975,JCNBHB_14980,CGGMPE_14680,LOEDCI_14720,FNCLAJ_14305
arcC,arcC,carbamate kinase,12,12,1.0,1,1619,,,,945,945,945.0,FHNNJA_04120,CJHMOJ_10435,HCJMML_11355,,JEILEN_11495,JBIPMC_11455,PEDMFB_04185,PMCJLP_10275,MIJGKE_04185,JCNBHB_04185,CGGMPE_04185,LOEDCI_11625,FNCLAJ_10545
menA,menA,14-dihydroxy-2-naphthoate polyprenyltransferase,12,12,1.0,1,1607,,,,948,948,948.0,FHNNJA_01435,CJHMOJ_13840,HCJMML_14435,,JEILEN_14830,JBIPMC_14535,PEDMFB_14660,PMCJLP_13660,MIJGKE_14595,JCNBHB_14600,CGGMPE_14300,LOEDCI_14360,FNCLAJ_13930
group_800,nlpC,Cell wall-associated hydrolase NlpC_P60 family,12,12,1.0,1,1479,,,,1002,1002,1002.0,FHNNJA_09050,CJHMOJ_03040,HCJMML_04550,,JEILEN_04550,JBIPMC_04605,PEDMFB_15035,PMCJLP_14040,MIJGKE_14970,JCNBHB_14975,CGGMPE_14675,LOEDCI_14725,FNCLAJ_14310
group_797,agaS,Fructoselysine-6-P-deglycase FrlB or related protein duplicated sugar isomerase (SIS) domain,12,12,1.0,1,1471,,,,1005,1005,1005.0,FHNNJA_06015,CJHMOJ_08435,HCJMML_09100,,JEILEN_09120,JBIPMC_09185,PEDMFB_06185,PMCJLP_08590,MIJGKE_06190,JCNBHB_06190,CGGMPE_06185,LOEDCI_08955,FNCLAJ_08585
xdhC,xdhC,Molybdoenzyme maturation factor PaoD (Mo cofactor insertion) XdhC/CoxF family,12,12,1.0,1,1455,,,,1008,1008,1008.0,FHNNJA_04140,CJHMOJ_10415,HCJMML_11335,,JEILEN_11475,JBIPMC_11435,PEDMFB_04205,PMCJLP_10255,MIJGKE_04205,JCNBHB_04205,CGGMPE_04205,LOEDCI_11605,FNCLAJ_10525
selD,selD,selenide water dikinase SelD,12,12,1.0,1,1421,,,,1023,1023,1023.0,FHNNJA_04160,CJHMOJ_10395,HCJMML_11315,,JEILEN_11460,JBIPMC_11420,PEDMFB_04225,PMCJLP_10235,MIJGKE_04225,JCNBHB_04225,CGGMPE_04225,LOEDCI_11585,FNCLAJ_10505
group_734,apbE,FAD:protein FMN transferase ApbE,12,12,1.0,1,1357,,,,1068,1068,1068.0,FHNNJA_01430,CJHMOJ_13845,HCJMML_14440,,JEILEN_14835,JBIPMC_14540,PEDMFB_14665,PMCJLP_13665,MIJGKE_14600,JCNBHB_14605,CGGMPE_14305,LOEDCI_14365,FNCLAJ_13935
group_724,glmS,Glucosamine 6-phosphate synthetase contains amidotransferase and phosphosugar isomerase domains,12,12,1.0,1,1336,,,,1077,1077,1077.0,FHNNJA_06010,CJHMOJ_08440,HCJMML_09105,,JEILEN_09125,JBIPMC_09190,PEDMFB_06180,PMCJLP_08595,MIJGKE_06185,JCNBHB_06185,CGGMPE_06180,LOEDCI_08960,FNCLAJ_08590
group_710,,DUF4179 domain-containing protein,12,12,1.0,1,1313,,,,1098,1098,1098.0,FHNNJA_07890,CJHMOJ_06530,HCJMML_06975,,JEILEN_07250,JBIPMC_07050,PEDMFB_08235,PMCJLP_06705,MIJGKE_08240,JCNBHB_08240,CGGMPE_08235,LOEDCI_06895,FNCLAJ_06700
mobT,mobT,MobT family relaxase,12,12,1.0,1,1146,,,,1206,1206,1206.0,FHNNJA_09025,CJHMOJ_03015,HCJMML_04525,,JEILEN_04525,JBIPMC_04580,PEDMFB_15010,PMCJLP_14065,MIJGKE_14945,JCNBHB_14950,CGGMPE_14650,LOEDCI_14750,FNCLAJ_14335
int,int,Transposase from transposon Tn1545,12,12,1.0,1,1126,,,,1218,1218,1218.0,FHNNJA_09095,CJHMOJ_03085,HCJMML_04595,,JEILEN_04595,JBIPMC_04650,PEDMFB_15080,PMCJLP_13995,MIJGKE_15015,JCNBHB_15020,CGGMPE_14720,LOEDCI_14685,FNCLAJ_14265
group_551,ygcG,Uncharacterized membrane protein YgcG contains a TPM-fold domain,12,12,1.0,1,1030,,,,1287,1287,1287.0,FHNNJA_13030,CJHMOJ_02165,HCJMML_01955,LIMHLO_01810,,JBIPMC_01970,PEDMFB_13805,PMCJLP_01900,MIJGKE_13740,JCNBHB_13745,CGGMPE_13445,LOEDCI_02175,FNCLAJ_01900
pbuX,pbuX,Xanthine/uracil permease,12,12,1.0,1,965,,,,1320,1320,1320.0,FHNNJA_04130,CJHMOJ_10425,HCJMML_11345,,JEILEN_11485,JBIPMC_11445,PEDMFB_04195,PMCJLP_10265,MIJGKE_04195,JCNBHB_04195,CGGMPE_04195,LOEDCI_11615,FNCLAJ_10535
dgt,dgt,deoxyguanosinetriphosphate triphosphohydrolase,12,12,1.0,1,907,,,,1362,1362,1362.0,FHNNJA_05980,CJHMOJ_08470,HCJMML_09135,LIMHLO_07630,,JBIPMC_09220,PEDMFB_06150,PMCJLP_08625,MIJGKE_06155,JCNBHB_06155,CGGMPE_06150,LOEDCI_08990,FNCLAJ_08620
dcuC,dcuC,C4-dicarboxylate transporter DcuC,12,12,1.0,1,881,,,,1374,1374,1374.0,FHNNJA_06140,CJHMOJ_08305,HCJMML_08965,,JEILEN_08995,JBIPMC_09050,PEDMFB_06320,PMCJLP_08465,MIJGKE_06325,JCNBHB_06325,CGGMPE_06320,LOEDCI_08830,FNCLAJ_08460
group_467,ftsK,DNA segregation ATPase FtsK/SpoIIIE or related protein,12,12,1.0,1,868,,,,1386,1386,1386.0,FHNNJA_09020,CJHMOJ_03010,HCJMML_04520,,JEILEN_04520,JBIPMC_04575,PEDMFB_15005,PMCJLP_14070,MIJGKE_14940,JCNBHB_14945,CGGMPE_14645,LOEDCI_14755,FNCLAJ_14340
gltA,gltA,NADPH-dependent glutamate synthase,12,12,1.0,1,818,,,,1419,1419,1419.0,FHNNJA_04195,CJHMOJ_10360,HCJMML_11280,,JEILEN_11425,JBIPMC_11385,PEDMFB_04265,PMCJLP_10195,MIJGKE_04265,JCNBHB_04265,CGGMPE_04265,LOEDCI_11550,FNCLAJ_10465
gelE,gelE,M4 family metallopeptidase coccolysin,12,12,1.0,1,708,,,,1530,1530,1530.0,FHNNJA_06270,CJHMOJ_08045,HCJMML_08470,LIMHLO_07400,,JBIPMC_08550,PEDMFB_06705,PMCJLP_08215,MIJGKE_06710,JCNBHB_06710,CGGMPE_06705,LOEDCI_08445,FNCLAJ_08210
group_236,purR,DNA-binding transcriptional regulator LacI/PurR family,12,12,1.0,1,462,,,,1914,1914,1914.0,FHNNJA_06130,CJHMOJ_08315,HCJMML_08975,,JEILEN_09005,JBIPMC_09060,PEDMFB_06310,PMCJLP_08475,MIJGKE_06315,JCNBHB_06315,CGGMPE_06310,LOEDCI_08840,FNCLAJ_08470
phnP,phnP,Phosphoribosyl 12-cyclic phosphate phosphodiesterase,12,12,1.0,1,427,,,,831,831,831.0,FHNNJA_06280,CJHMOJ_08035,HCJMML_08460,LIMHLO_07390,,JBIPMC_08540,PEDMFB_06715,PMCJLP_08205,MIJGKE_06720,JCNBHB_06720,CGGMPE_06715,LOEDCI_08435,FNCLAJ_08200
yqeC,yqeC,YqeC protein;selenium cofactor biosynthesis protein YqeC,12,14,1.1666666666666667,1,377,,,,204,756,638.1428571428571,FHNNJA_04175,CJHMOJ_10380,HCJMML_11300,,JEILEN_11445,JBIPMC_11405,PEDMFB_04245,PMCJLP_10215;PMCJLP_10220,MIJGKE_04245,JCNBHB_04245,CGGMPE_04245,LOEDCI_11570,FNCLAJ_10485;FNCLAJ_10490
agrC~~~fsrC,agrC;fsrC;,Sensory transduction histidine kinase AgrC;histidine kinase putative;Histidine kinase,12,14,1.1666666666666667,1,354,,,,384,1344,1019.3571428571429,FHNNJA_06265,CJHMOJ_08050,HCJMML_08480;HCJMML_08475,LIMHLO_07405,,JBIPMC_08560;JBIPMC_08555,PEDMFB_06700,PMCJLP_08220,MIJGKE_06705,JCNBHB_06705,CGGMPE_06700,LOEDCI_08450,FNCLAJ_08215
group_171,,hypothetical protein;Alternate signal-mediated exported protein,12,12,1.0,1,348,,,,177,846,690.75,FHNNJA_06120,CJHMOJ_08325,HCJMML_08985,,JEILEN_09015,JBIPMC_09070,PEDMFB_06300,PMCJLP_08485,MIJGKE_06305,JCNBHB_06305,CGGMPE_06300,LOEDCI_08850,FNCLAJ_08480
group_123,,N-acetyltransferase domain-containing protein,12,12,1.0,1,261,,,,540,540,540.0,FHNNJA_07855,CJHMOJ_06565,HCJMML_07010,,JEILEN_07285,JBIPMC_07085,PEDMFB_08200,PMCJLP_06740,MIJGKE_08205,JCNBHB_08205,CGGMPE_08200,LOEDCI_06930,FNCLAJ_06735
group_119,tet(M),tetracycline resistance ribosomal protection protein Tet(M),12,12,1.0,1,256,,,,1920,1920,1920.0,FHNNJA_09070,CJHMOJ_03060,HCJMML_04570,,JEILEN_04570,JBIPMC_04625,PEDMFB_15055,PMCJLP_14020,MIJGKE_14990,JCNBHB_14995,CGGMPE_14695,LOEDCI_14710,FNCLAJ_14290
group_117,virB4,Type IV secretory pathway VirB4 component,12,12,1.0,1,252,,,,2448,2448,2448.0,FHNNJA_09040,CJHMOJ_03030,HCJMML_04540,,JEILEN_04540,JBIPMC_04595,PEDMFB_15025,PMCJLP_14050,MIJGKE_14960,JCNBHB_14965,CGGMPE_14665,LOEDCI_14735,FNCLAJ_14320
yqeB,yqeB,selenium-dependent molybdenum cofactor biosynthesis protein YqeB,12,12,1.0,1,223,,,,831,831,831.0,FHNNJA_04180,CJHMOJ_10375,HCJMML_11295,,JEILEN_11440,JBIPMC_11400,PEDMFB_04250,PMCJLP_10210,MIJGKE_04250,JCNBHB_04250,CGGMPE_04250,LOEDCI_11565,FNCLAJ_10480
pnuC,pnuC,Nicotinamide mononucleotide transporter PnuC,12,12,1.0,1,189,,,,270,270,270.0,0_refound_3,1_refound_9,HCJMML_03675,LIMHLO_02650,JEILEN_03665,JBIPMC_03715,6_refound_39,PMCJLP_03430,8_refound_49,9_refound_51,10_refound_54,,FNCLAJ_03435
group_81,levR,Transcriptional regulatory protein LevR contains PRD AAA+ and EIIA domains,12,12,1.0,1,175,,,,2772,2772,2772.0,FHNNJA_05985,CJHMOJ_08465,HCJMML_09130,,JEILEN_09150,JBIPMC_09215,PEDMFB_06155,PMCJLP_08620,MIJGKE_06160,JCNBHB_06160,CGGMPE_06155,LOEDCI_08985,FNCLAJ_08615
group_16,,LPXTG-domain-containing protein cell wall anchor domain,12,12,1.0,1,59,,,,342,363,361.25,FHNNJA_01440,CJHMOJ_13835,HCJMML_14430,,JEILEN_14825,JBIPMC_14530,PEDMFB_14655,PMCJLP_13655,MIJGKE_14590,JCNBHB_14595,CGGMPE_14295,LOEDCI_14355,FNCLAJ_13925
katE,katE;,Catalase,12,13,1.0833333333333333,1,22,,,,204,1437,1318.1538461538462,FHNNJA_07410,CJHMOJ_07000,HCJMML_07440,,JEILEN_07715,JBIPMC_07515,PEDMFB_07760,PMCJLP_07170,MIJGKE_07765,JCNBHB_07765,CGGMPE_07760,LOEDCI_07370;LOEDCI_07365,FNCLAJ_07165
sclA,sclA,selenocysteine lyase SclA,12,12,1.0,1,18,,,,1149,1149,1149.0,FHNNJA_04155,CJHMOJ_10400,HCJMML_11320,,JEILEN_11465,JBIPMC_11425,PEDMFB_04220,PMCJLP_10240,MIJGKE_04220,JCNBHB_04220,CGGMPE_04220,LOEDCI_11590,FNCLAJ_10510
group_3319,;lolD,ATP-binding cassette domain-containing protein;ABC-type lipoprotein export system ATPase component,11,11,1.0,1,4854,,,,492,681,663.8181818181819,,CJHMOJ_07360,HCJMML_07795,,JEILEN_08120,JBIPMC_07870,PEDMFB_07375,PMCJLP_07525,MIJGKE_07380,JCNBHB_07380,CGGMPE_07375,LOEDCI_07755,FNCLAJ_07520
group_3261,nagE,Phosphotransferase system IIA component,11,11,1.0,1,4783,,,,1884,1929,1924.909090909091,,CJHMOJ_07015,HCJMML_07455,,JEILEN_07745,JBIPMC_07530,PEDMFB_07745,PMCJLP_07185,MIJGKE_07750,JCNBHB_07750,CGGMPE_07745,LOEDCI_07385,FNCLAJ_07180
mptD,mptD,MptD family ECF transporter S component,11,11,1.0,1,4772,,,,570,570,570.0,FHNNJA_12505,,HCJMML_02630,,JEILEN_02700,JBIPMC_02655,PEDMFB_13090,PMCJLP_02465,MIJGKE_13020,JCNBHB_13030,CGGMPE_12730,LOEDCI_02750,FNCLAJ_02470
amtB,amtB,Ammonia channel protein AmtB,11,11,1.0,1,4687,,,,1071,1071,1071.0,FHNNJA_12750,,HCJMML_02380,,JEILEN_02440,JBIPMC_02395,PEDMFB_13280,PMCJLP_02265,MIJGKE_13210,JCNBHB_13220,CGGMPE_12920,LOEDCI_02635,FNCLAJ_02270
group_3162,;fadH2,Pyridine nucleotide-disulphide oxidoreductase;NADPH-dependent 24-dienoyl-CoA reductase sulfur reductase or a related oxidoreductase;Pyridine nucleotide-disulfide oxidoreductase,11,13,1.1818181818181819,1,4653,,,,366,1134,949.3846153846154,FHNNJA_12745,,HCJMML_02385;HCJMML_02390,,JEILEN_02445,JBIPMC_02405;JBIPMC_02400,PEDMFB_13275,PMCJLP_02270,MIJGKE_13205,JCNBHB_13215,CGGMPE_12915,LOEDCI_02640,FNCLAJ_02275
