Gene,Non-unique Gene name,Annotation,CI-1049,CI-1104,CI-8010,CI-8050,DFI-250,DFI-266,EF-W12,EF-W2,EF-W3,EF-W4,EF-W5,EF-W6,EF-W8
baeS,baeS,Signal transduction histidine kinase,FHNNJA_09960,CJHMOJ_04425,HCJMML_05015,LIMHLO_03945,JEILEN_05015,JBIPMC_05070,PEDMFB_10140,PMCJLP_04720,MIJGKE_10145,JCNBHB_10150,CGGMPE_10145,LOEDCI_04925,FNCLAJ_04725
citF,citF,citrate lyase subunit alpha,FHNNJA_14010,CJHMOJ_14200,HCJMML_14800,LIMHLO_12330,JEILEN_15190,JBIPMC_14900,PEDMFB_15110,PMCJLP_14110,MIJGKE_15045,JCNBHB_15050,CGGMPE_14750,LOEDCI_14795,FNCLAJ_14380
nnrD,nnrD,ADP-dependent (S)-NAD(P)H-hydrate dehydratase,FHNNJA_06460,CJHMOJ_07920,HCJMML_08345,LIMHLO_07205,JEILEN_08680,JBIPMC_08425,PEDMFB_06830,PMCJLP_08090,MIJGKE_06835,JCNBHB_06835,CGGMPE_06830,LOEDCI_08320,FNCLAJ_08085
group_384,ccmA,heme ABC exporter ATP-binding protein CcmA,FHNNJA_05690,CJHMOJ_09055,HCJMML_09715,LIMHLO_07915,JEILEN_09705,JBIPMC_09805,PEDMFB_05855,PMCJLP_08910,MIJGKE_05860,JCNBHB_05860,CGGMPE_05855,LOEDCI_09565,FNCLAJ_09175
purE,purE,Phosphoribosylcarboxyaminoimidazole (NCAIR) mutase,FHNNJA_06470,CJHMOJ_07910,HCJMML_08335,LIMHLO_07195,JEILEN_08670,JBIPMC_08415,PEDMFB_06840,PMCJLP_08080,MIJGKE_06845,JCNBHB_06845,CGGMPE_06840,LOEDCI_08310,FNCLAJ_08075
srmB,srmB,Superfamily II DNA and RNA helicase,FHNNJA_11310,CJHMOJ_03395,HCJMML_03910,LIMHLO_02925,JEILEN_03890,JBIPMC_03950,PEDMFB_11445,PMCJLP_03700,MIJGKE_11445,JCNBHB_11455,CGGMPE_11155,LOEDCI_03860,FNCLAJ_03705
citA,citA,Sensor histidine kinase DipB regulating citrate/malate metabolism,FHNNJA_09125,CJHMOJ_05380,HCJMML_05870,LIMHLO_04780,JEILEN_06115,JBIPMC_05925,PEDMFB_09285,PMCJLP_05545,MIJGKE_09290,JCNBHB_09295,CGGMPE_09290,LOEDCI_05775,FNCLAJ_05550
ushA,ushA,2'3'-cyclic-nucleotide 2'-phosphodiesterase/5'- or 3'-nucleotidase 5'-nucleotidase family,FHNNJA_02905,CJHMOJ_12005,HCJMML_12850,LIMHLO_10320,JEILEN_13335,JBIPMC_12955,PEDMFB_02580,PMCJLP_11550,MIJGKE_02580,JCNBHB_02580,CGGMPE_02580,LOEDCI_12865,FNCLAJ_11825
hyuA,hyuA,N-methylhydantoinase A/oxoprolinase/acetone carboxylase beta subunit,FHNNJA_01345,CJHMOJ_13940,HCJMML_14535,LIMHLO_12075,JEILEN_14930,JBIPMC_14635,PEDMFB_14760,PMCJLP_13760,MIJGKE_14695,JCNBHB_14700,CGGMPE_14400,LOEDCI_14450,FNCLAJ_14030
group_376,atpA,F0F1 ATP synthase subunit alpha,FHNNJA_03965,CJHMOJ_10590,HCJMML_11510,LIMHLO_09230,JEILEN_11650,JBIPMC_11610,PEDMFB_04030,PMCJLP_10430,MIJGKE_04030,JCNBHB_04030,CGGMPE_04030,LOEDCI_11780,FNCLAJ_10700
rny,rny,ribonuclease Y,FHNNJA_01835,CJHMOJ_13500,HCJMML_14115,LIMHLO_11625,JEILEN_14485,JBIPMC_14220,PEDMFB_14275,PMCJLP_13320,MIJGKE_14210,JCNBHB_14215,CGGMPE_13915,LOEDCI_14045,FNCLAJ_13590
clcA,clcA,H+/Cl- antiporter ClcA,FHNNJA_11915,CJHMOJ_02705,HCJMML_03305,LIMHLO_02295,JEILEN_03315,JBIPMC_03345,PEDMFB_12285,PMCJLP_03090,MIJGKE_12285,JCNBHB_12295,CGGMPE_11995,LOEDCI_03320,FNCLAJ_03095
group_373,sucD,Succinyl-CoA synthetase alpha subunit,FHNNJA_02485,CJHMOJ_12740,HCJMML_13410,LIMHLO_10955,JEILEN_13785,JBIPMC_13515,PEDMFB_02145,PMCJLP_12565,MIJGKE_02145,JCNBHB_02145,CGGMPE_02145,LOEDCI_13330,FNCLAJ_12840
group_370,pucR,DNA-binding transcriptional regulator PucR/PutR family,FHNNJA_01330,CJHMOJ_13955,HCJMML_14550,LIMHLO_12090,JEILEN_14945,JBIPMC_14650,PEDMFB_14775,PMCJLP_13775,MIJGKE_14710,JCNBHB_14715,CGGMPE_14415,LOEDCI_14465,FNCLAJ_14045
guaA,guaA,glutamine-hydrolyzing GMP synthase,FHNNJA_00745,CJHMOJ_00610,HCJMML_00740,LIMHLO_00570,JEILEN_00760,JBIPMC_00750,PEDMFB_00580,PMCJLP_00615,MIJGKE_00580,JCNBHB_00580,CGGMPE_00580,LOEDCI_00855,FNCLAJ_00615
group_369,ccmA,heme ABC exporter ATP-binding protein CcmA,FHNNJA_00800,CJHMOJ_00665,HCJMML_00795,LIMHLO_00625,JEILEN_00815,JBIPMC_00805,PEDMFB_00635,PMCJLP_00670,MIJGKE_00635,JCNBHB_00635,CGGMPE_00635,LOEDCI_00910,FNCLAJ_00670
prfC,prfC,peptide chain release factor 3,FHNNJA_12000,CJHMOJ_02620,HCJMML_03220,LIMHLO_02210,JEILEN_03225,JBIPMC_03260,PEDMFB_12370,PMCJLP_03005,MIJGKE_12370,JCNBHB_12380,CGGMPE_12080,LOEDCI_03235,FNCLAJ_03010
hisJ,hisJ,ABC-type amino acid transport/signal transduction system periplasmic component/domain,FHNNJA_01130,CJHMOJ_00980,HCJMML_01095,LIMHLO_00935,JEILEN_01120,JBIPMC_01105,PEDMFB_00940,PMCJLP_00985,MIJGKE_00940,JCNBHB_00940,CGGMPE_00940,LOEDCI_01230,FNCLAJ_00985
group_360,,YdhG-like domain-containing protein,FHNNJA_06720,CJHMOJ_07660,HCJMML_08095,LIMHLO_06920,JEILEN_08420,JBIPMC_08175,PEDMFB_07075,PMCJLP_07825,MIJGKE_07080,JCNBHB_07080,CGGMPE_07075,LOEDCI_08060,FNCLAJ_07820
group_359,spoVB,Stage V sporulation protein SpoVB/SpoIIIF required for spore cortex synthesis,FHNNJA_01180,CJHMOJ_01030,HCJMML_01145,LIMHLO_00985,JEILEN_01170,JBIPMC_01155,PEDMFB_00990,PMCJLP_01035,MIJGKE_00990,JCNBHB_00990,CGGMPE_00990,LOEDCI_01280,FNCLAJ_01035
group_353,,General stress protein,FHNNJA_06670,CJHMOJ_07710,HCJMML_08130,LIMHLO_06955,JEILEN_08465,JBIPMC_08210,PEDMFB_07040,PMCJLP_07875,MIJGKE_07045,JCNBHB_07045,CGGMPE_07040,LOEDCI_08105,FNCLAJ_07870
mntH,mntH,Nramp family divalent metal transporter,FHNNJA_09850,CJHMOJ_04535,HCJMML_05120,LIMHLO_04050,JEILEN_05120,JBIPMC_05175,PEDMFB_10030,PMCJLP_04830,MIJGKE_10035,JCNBHB_10040,CGGMPE_10035,LOEDCI_05030,FNCLAJ_04835
ugpB,ugpB,ABC-type glycerol-3-phosphate transport system periplasmic component,FHNNJA_08910,CJHMOJ_05510,HCJMML_05995,LIMHLO_04945,JEILEN_06240,JBIPMC_06050,PEDMFB_09160,PMCJLP_05670,MIJGKE_09165,JCNBHB_09170,CGGMPE_09165,LOEDCI_05900,FNCLAJ_05675
liaX,liaX,daptomycin-sensing surface protein LiaX,FHNNJA_06630,CJHMOJ_07750,HCJMML_08170,LIMHLO_06995,JEILEN_08505,JBIPMC_08250,PEDMFB_07000,PMCJLP_07915,MIJGKE_07005,JCNBHB_07005,CGGMPE_07000,LOEDCI_08145,FNCLAJ_07910
group_352,,DUF3884 domain-containing protein,FHNNJA_08010,CJHMOJ_06415,HCJMML_06860,LIMHLO_05765,JEILEN_07135,JBIPMC_06935,PEDMFB_08350,PMCJLP_06590,MIJGKE_08355,JCNBHB_08355,CGGMPE_08350,LOEDCI_06780,FNCLAJ_06585
aspD,aspD,aspartate 4-decarboxylase,FHNNJA_10030,CJHMOJ_04350,HCJMML_04945,LIMHLO_03875,JEILEN_04945,JBIPMC_05000,PEDMFB_10210,PMCJLP_04650,MIJGKE_10215,JCNBHB_10220,CGGMPE_10215,LOEDCI_04855,FNCLAJ_04655
pyrG,pyrG,CTP synthase,FHNNJA_09410,CJHMOJ_05100,HCJMML_05570,LIMHLO_04475,JEILEN_05805,JBIPMC_05620,PEDMFB_09585,PMCJLP_05265,MIJGKE_09590,JCNBHB_09595,CGGMPE_09590,LOEDCI_05465,FNCLAJ_05270
lspA,lspA,signal peptidase II,FHNNJA_06780,CJHMOJ_07600,HCJMML_08035,LIMHLO_06860,JEILEN_08360,JBIPMC_08115,PEDMFB_07135,PMCJLP_07765,MIJGKE_07140,JCNBHB_07140,CGGMPE_07135,LOEDCI_08000,FNCLAJ_07760
sucB,sucB,2-oxoglutarate dehydrogenase E2 component dihydrolipoamide succinyltransferase,FHNNJA_08270,CJHMOJ_06155,HCJMML_06595,LIMHLO_05495,JEILEN_06865,JBIPMC_06665,PEDMFB_08610,PMCJLP_06330,MIJGKE_08615,JCNBHB_08615,CGGMPE_08610,LOEDCI_06495,FNCLAJ_06325
amyA,amyA,Glycosidase/amylase (phosphorylase),FHNNJA_08300,CJHMOJ_06125,HCJMML_06565,LIMHLO_05465,JEILEN_06835,JBIPMC_06635,PEDMFB_08640,PMCJLP_06300,MIJGKE_08645,JCNBHB_08645,CGGMPE_08640,LOEDCI_06465,FNCLAJ_06295
groL,groL,chaperonin GroEL,FHNNJA_03875,CJHMOJ_10680,HCJMML_11600,LIMHLO_09320,JEILEN_11740,JBIPMC_11700,PEDMFB_03940,PMCJLP_10520,MIJGKE_03940,JCNBHB_03940,CGGMPE_03940,LOEDCI_11870,FNCLAJ_10790
group_347,pucR,DNA-binding transcriptional regulator PucR/PutR family,FHNNJA_02545,CJHMOJ_12355,HCJMML_13315,LIMHLO_10890,JEILEN_13685,JBIPMC_13420,PEDMFB_02220,PMCJLP_12180,MIJGKE_02220,JCNBHB_02220,CGGMPE_02220,LOEDCI_13215,FNCLAJ_12455
group_345,oppA,ABC-type oligopeptide transport system periplasmic component,FHNNJA_11515,CJHMOJ_03205,HCJMML_03755,LIMHLO_02735,JEILEN_03745,JBIPMC_03795,PEDMFB_11635,PMCJLP_03510,MIJGKE_11635,JCNBHB_11645,CGGMPE_11345,LOEDCI_03715,FNCLAJ_03515
uup,uup,ATPase components of ABC transporters with duplicated ATPase domains,FHNNJA_00075,CJHMOJ_00075,HCJMML_00080,LIMHLO_00075,JEILEN_00075,JBIPMC_00080,PEDMFB_00075,PMCJLP_00075,MIJGKE_00075,JCNBHB_00075,CGGMPE_00075,LOEDCI_00075,FNCLAJ_00075
group_343,oppA,ABC-type oligopeptide transport system periplasmic component,FHNNJA_02215,CJHMOJ_13060,HCJMML_13680,LIMHLO_11205,JEILEN_14085,JBIPMC_13785,PEDMFB_01830,PMCJLP_12890,MIJGKE_01830,JCNBHB_01830,CGGMPE_01830,LOEDCI_13630,FNCLAJ_13160
spoVB,spoVB,Stage V sporulation protein SpoVB/SpoIIIF required for spore cortex synthesis,FHNNJA_12185,CJHMOJ_02435,HCJMML_03025,LIMHLO_02050,JEILEN_03040,JBIPMC_03065,PEDMFB_12680,PMCJLP_02820,MIJGKE_12610,JCNBHB_12620,CGGMPE_12320,LOEDCI_03070,FNCLAJ_02825
alsS,alsS,acetolactate synthase AlsS,FHNNJA_09105,CJHMOJ_05400,HCJMML_05890,LIMHLO_04840,JEILEN_06135,JBIPMC_05945,PEDMFB_09265,PMCJLP_05565,MIJGKE_09270,JCNBHB_09275,CGGMPE_09270,LOEDCI_05795,FNCLAJ_05570
group_340,oppA,ABC-type oligopeptide transport system periplasmic component,FHNNJA_07835,CJHMOJ_06590,HCJMML_07030,LIMHLO_05905,JEILEN_07305,JBIPMC_07105,PEDMFB_08180,PMCJLP_06760,MIJGKE_08185,JCNBHB_08185,CGGMPE_08180,LOEDCI_06950,FNCLAJ_06755
group_337,cdaR,Sugar diacid utilization regulator CdaR,FHNNJA_02495,CJHMOJ_12730,HCJMML_13400,LIMHLO_10945,JEILEN_13775,JBIPMC_13505,PEDMFB_02160,PMCJLP_12555,MIJGKE_02160,JCNBHB_02160,CGGMPE_02160,LOEDCI_13320,FNCLAJ_12830
group_336,oppA,ABC-type oligopeptide transport system periplasmic component,FHNNJA_11025,CJHMOJ_03675,HCJMML_04185,LIMHLO_03195,JEILEN_04165,JBIPMC_04230,PEDMFB_11165,PMCJLP_03980,MIJGKE_11165,JCNBHB_11175,CGGMPE_10875,LOEDCI_04160,FNCLAJ_03985
group_335,pucR,DNA-binding transcriptional regulator PucR/PutR family,FHNNJA_09840,CJHMOJ_04545,HCJMML_05130,LIMHLO_04060,JEILEN_05130,JBIPMC_05185,PEDMFB_10020,PMCJLP_04840,MIJGKE_10025,JCNBHB_10030,CGGMPE_10025,LOEDCI_05040,FNCLAJ_04845
fhs,fhs,formate--tetrahydrofolate ligase,FHNNJA_06770,CJHMOJ_07610,HCJMML_08045,LIMHLO_06870,JEILEN_08370,JBIPMC_08125,PEDMFB_07125,PMCJLP_07775,MIJGKE_07130,JCNBHB_07130,CGGMPE_07125,LOEDCI_08010,FNCLAJ_07770
recN,recN,DNA repair protein RecN,FHNNJA_10615,CJHMOJ_04090,HCJMML_04685,LIMHLO_03615,JEILEN_04685,JBIPMC_04740,PEDMFB_10480,PMCJLP_04390,MIJGKE_10480,JCNBHB_10490,CGGMPE_10485,LOEDCI_04580,FNCLAJ_04395
dhaL,dhaL,DhaL domain-containing protein,FHNNJA_02095,CJHMOJ_13200,HCJMML_13825,LIMHLO_11360,JEILEN_14210,JBIPMC_13930,PEDMFB_01710,PMCJLP_13020,MIJGKE_01710,JCNBHB_01710,CGGMPE_01710,LOEDCI_13760,FNCLAJ_13290
group_333,rnjA,mRNA degradation ribonuclease J1/J2,FHNNJA_09240,CJHMOJ_05265,HCJMML_05755,LIMHLO_04665,JEILEN_06000,JBIPMC_05810,PEDMFB_09400,PMCJLP_05430,MIJGKE_09405,JCNBHB_09410,CGGMPE_09405,LOEDCI_05660,FNCLAJ_05435
ahpF,ahpF,Alkyl hydroperoxide reductase subunit AhpF,FHNNJA_03425,CJHMOJ_11175,HCJMML_12335,LIMHLO_09795,JEILEN_12510,JBIPMC_12440,PEDMFB_03435,PMCJLP_11020,MIJGKE_03435,JCNBHB_03435,CGGMPE_03435,LOEDCI_12350,FNCLAJ_11295
oppA,oppA,ABC-type oligopeptide transport system periplasmic component,FHNNJA_00275,CJHMOJ_00270,HCJMML_00275,LIMHLO_00270,JEILEN_00285,JBIPMC_00275,PEDMFB_00275,PMCJLP_00275,MIJGKE_00275,JCNBHB_00275,CGGMPE_00275,LOEDCI_00590,FNCLAJ_00275
rnjA,rnjA,mRNA degradation ribonuclease J1/J2,FHNNJA_02800,CJHMOJ_12110,HCJMML_12955,LIMHLO_10425,JEILEN_13440,JBIPMC_13060,PEDMFB_02475,PMCJLP_11655,MIJGKE_02475,JCNBHB_02475,CGGMPE_02475,LOEDCI_12970,FNCLAJ_11930
argS,argS,arginine--tRNA ligase,FHNNJA_04425,CJHMOJ_10150,HCJMML_11020,LIMHLO_08830,JEILEN_11170,JBIPMC_11120,PEDMFB_04520,PMCJLP_09985,MIJGKE_04525,JCNBHB_04520,CGGMPE_04520,LOEDCI_11310,FNCLAJ_10255
group_315,mdlB,ABC-type multidrug transport system ATPase and permease component,FHNNJA_10845,CJHMOJ_03860,HCJMML_04360,LIMHLO_03370,JEILEN_04340,JBIPMC_04405,PEDMFB_10985,PMCJLP_04160,MIJGKE_10985,JCNBHB_10995,CGGMPE_10695,LOEDCI_04340,FNCLAJ_04165
merR~~~phnB,merR;phnB,Transcriptional regulator MerR family;Zn-dependent glyoxalase PhnB family,FHNNJA_10740,CJHMOJ_03965,HCJMML_04505,LIMHLO_03475,JEILEN_04505,JBIPMC_04560,PEDMFB_10870,PMCJLP_04265,MIJGKE_10870,JCNBHB_10880,CGGMPE_10580,LOEDCI_04445,FNCLAJ_04270
group_314,,helix-turn-helix domain-containing protein;Mga helix-turn-helix domain-containing protein;M protein trans-acting positive regulator (MGA),FHNNJA_00385;FHNNJA_00390,CJHMOJ_00390,HCJMML_00360,LIMHLO_00375,JEILEN_00370,JBIPMC_00360,PEDMFB_00360,PMCJLP_00390,MIJGKE_00360,JCNBHB_00360,CGGMPE_00360,LOEDCI_00690,FNCLAJ_00390
group_313,,helix-turn-helix domain-containing protein;Mga helix-turn-helix domain-containing protein;hypothetical protein,FHNNJA_00395;FHNNJA_00400,CJHMOJ_00395,HCJMML_00365,LIMHLO_00380,JEILEN_00375,JBIPMC_00365,PEDMFB_00365,PMCJLP_00395,MIJGKE_00365,JCNBHB_00365,CGGMPE_00365,LOEDCI_00695,FNCLAJ_00395
spaA~~~fss1,spaA;fss1;,SpaA isopeptide-forming pilin-related protein;fibrinogen-binding MSCRAMM adhesin Fss1;Collagen binding domain protein;LPXTG-motif cell wall anchor domain protein,FHNNJA_00405,CJHMOJ_00400,HCJMML_00370,LIMHLO_00385,JEILEN_00380,JBIPMC_00370,PEDMFB_00370,PMCJLP_00400,MIJGKE_00370,JCNBHB_00370,CGGMPE_00370,LOEDCI_00705;LOEDCI_00700,FNCLAJ_00400
efrA,efrA,multidrug efflux ABC transporter subunit EfrA,FHNNJA_02815,CJHMOJ_12095,HCJMML_12940,LIMHLO_10410,JEILEN_13425,JBIPMC_13045,PEDMFB_02490,PMCJLP_11640,MIJGKE_02490,JCNBHB_02490,CGGMPE_02490,LOEDCI_12955,FNCLAJ_11915
cydD,cydD,thiol reductant ABC exporter subunit CydD,FHNNJA_05770,CJHMOJ_08975,HCJMML_09635,LIMHLO_07840,JEILEN_09625,JBIPMC_09725,PEDMFB_05935,PMCJLP_08830,MIJGKE_05940,JCNBHB_05940,CGGMPE_05935,LOEDCI_09485,FNCLAJ_09095
ezrA,ezrA,septation ring formation regulator EzrA,FHNNJA_13495,CJHMOJ_01710,HCJMML_01570,LIMHLO_01415,JEILEN_01590,JBIPMC_01580,PEDMFB_01425,PMCJLP_01450,MIJGKE_01425,JCNBHB_01425,CGGMPE_01425,LOEDCI_01700,FNCLAJ_01450
ade,ade,Adenine deaminase,FHNNJA_08970,CJHMOJ_05445,HCJMML_05935,LIMHLO_04885,JEILEN_06180,JBIPMC_05990,PEDMFB_09220,PMCJLP_05610,MIJGKE_09225,JCNBHB_09230,CGGMPE_09225,LOEDCI_05840,FNCLAJ_05615
ace,;ace,LPXTG cell wall anchor domain-containing protein;Collagen adhesin;collagen-binding MSCRAMM adhesin Ace,FHNNJA_09640,CJHMOJ_04875,HCJMML_05340,LIMHLO_04250,JEILEN_05580,JBIPMC_05395,PEDMFB_09810,PMCJLP_05040,MIJGKE_09815,JCNBHB_09820,CGGMPE_09815,LOEDCI_05235,FNCLAJ_05045
group_303,,ABC-type anion transport system duplicated permease component,FHNNJA_09865,CJHMOJ_04520,HCJMML_05110,LIMHLO_04040,JEILEN_05110,JBIPMC_05165,PEDMFB_10045,PMCJLP_04815,MIJGKE_10050,JCNBHB_10055,CGGMPE_10050,LOEDCI_05020,FNCLAJ_04820
pyk,pyk,pyruvate kinase,FHNNJA_09985,CJHMOJ_04400,HCJMML_04990,LIMHLO_03920,JEILEN_04990,JBIPMC_05045,PEDMFB_10165,PMCJLP_04695,MIJGKE_10170,JCNBHB_10175,CGGMPE_10170,LOEDCI_04900,FNCLAJ_04700
yjhB,yjhB,ADP-ribose pyrophosphatase YjhB NUDIX family,FHNNJA_11645,CJHMOJ_02975,HCJMML_03580,LIMHLO_02570,JEILEN_03585,JBIPMC_03620,PEDMFB_11765,PMCJLP_03360,MIJGKE_11765,JCNBHB_11775,CGGMPE_11475,LOEDCI_03595,FNCLAJ_03365
dnaX,dnaX,DNA polymerase III subunit gamma/tau,FHNNJA_03230,CJHMOJ_11370,HCJMML_12530,LIMHLO_09990,JEILEN_12705,JBIPMC_12635,PEDMFB_03225,PMCJLP_11215,MIJGKE_03225,JCNBHB_03225,CGGMPE_03225,LOEDCI_12545,FNCLAJ_11490
cydC,cydC,thiol reductant ABC exporter subunit CydC,FHNNJA_05775,CJHMOJ_08970,HCJMML_09630,LIMHLO_07835,JEILEN_09620,JBIPMC_09720,PEDMFB_05940,PMCJLP_08825,MIJGKE_05945,JCNBHB_05945,CGGMPE_05940,LOEDCI_09480,FNCLAJ_09090
lCB5,lCB5,Phosphatidylglycerol kinase diacylglycerol kinase family,FHNNJA_00410,CJHMOJ_00405,HCJMML_00375,LIMHLO_00395,JEILEN_00385,JBIPMC_00375,PEDMFB_00375,PMCJLP_00405,MIJGKE_00375,JCNBHB_00375,CGGMPE_00375,LOEDCI_00710,FNCLAJ_00405
ugpQ1,ugpQ1,Membrane-anchored glycerophosphoryl diester phosphodiesterase (GDPDase) membrane domain,FHNNJA_11650,CJHMOJ_02970,HCJMML_03575,LIMHLO_02565,JEILEN_03580,JBIPMC_03615,PEDMFB_11770,PMCJLP_03355,MIJGKE_11770,JCNBHB_11780,CGGMPE_11480,LOEDCI_03590,FNCLAJ_03360
group_293,,hypothetical protein;Mga helix-turn-helix domain-containing protein,FHNNJA_00415,CJHMOJ_00410,HCJMML_00385;HCJMML_00380,LIMHLO_00400,JEILEN_00390,JBIPMC_00385;JBIPMC_00380,PEDMFB_00380,PMCJLP_00410,MIJGKE_00380,JCNBHB_00380,CGGMPE_00380,LOEDCI_00715,FNCLAJ_00410
group_292,recQ,DNA helicase RecQ,FHNNJA_04465,CJHMOJ_10095,HCJMML_10960,LIMHLO_08790,JEILEN_11130,JBIPMC_11060,PEDMFB_04580,PMCJLP_09930,MIJGKE_04585,JCNBHB_04580,CGGMPE_04580,LOEDCI_11270,FNCLAJ_10200
mtlA,mtlA,Phosphotransferase system mannitol-specific IIBC component,FHNNJA_13310,CJHMOJ_01890,HCJMML_01740,LIMHLO_01580,JEILEN_01780,JBIPMC_01755,PEDMFB_14085,PMCJLP_01630,MIJGKE_14020,JCNBHB_14025,CGGMPE_13725,LOEDCI_01890,FNCLAJ_01630
aspS,aspS,aspartate--tRNA ligase,FHNNJA_05925,CJHMOJ_08535,HCJMML_09190,LIMHLO_07685,JEILEN_09205,JBIPMC_09275,PEDMFB_06095,PMCJLP_08680,MIJGKE_06100,JCNBHB_06100,CGGMPE_06095,LOEDCI_09045,FNCLAJ_08675
group_291,,oleate hydratase,FHNNJA_13930,CJHMOJ_14120,HCJMML_14720,LIMHLO_12255,JEILEN_15110,JBIPMC_14820,PEDMFB_14940,PMCJLP_13940,MIJGKE_14875,JCNBHB_14880,CGGMPE_14580,LOEDCI_14630,FNCLAJ_14210
efrB,efrB,multidrug efflux ABC transporter subunit EfrB,FHNNJA_02820,CJHMOJ_12090,HCJMML_12935,LIMHLO_10405,JEILEN_13420,JBIPMC_13040,PEDMFB_02495,PMCJLP_11635,MIJGKE_02495,JCNBHB_02495,CGGMPE_02495,LOEDCI_12950,FNCLAJ_11910
group_290,;gatA,6-aminohexanoate hydrolase;Asp-tRNAAsn/Glu-tRNAGln amidotransferase A subunit or related amidase;6-aminohexanoate-cyclic-dimer hydrolase,FHNNJA_10050,CJHMOJ_04330,HCJMML_04925,LIMHLO_03855,JEILEN_04925,JBIPMC_04980,PEDMFB_10230,PMCJLP_04630,MIJGKE_10235,JCNBHB_10240,CGGMPE_10235,LOEDCI_04830,FNCLAJ_04635
group_289,,glycosyl hydrolase family 28-related protein;Pectate lyase superfamily protein domain-containing protein;Cell wall surface anchor family protein,FHNNJA_00425,CJHMOJ_00425,HCJMML_00395,LIMHLO_00410,JEILEN_00400,JBIPMC_00395,PEDMFB_00390,PMCJLP_00425,MIJGKE_00390,JCNBHB_00390,CGGMPE_00390,LOEDCI_00725,FNCLAJ_00425
group_288,,FUSC family protein,FHNNJA_03150,CJHMOJ_11445,HCJMML_12610,LIMHLO_10080,JEILEN_12780,JBIPMC_12715,PEDMFB_03150,PMCJLP_11290,MIJGKE_03150,JCNBHB_03150,CGGMPE_03150,LOEDCI_12625,FNCLAJ_11565
group_287,,LPXTG cell wall anchor domain-containing protein;LPXTG-motif protein cell wall anchor domain protein;Cell surface protein,FHNNJA_02670,CJHMOJ_12230,HCJMML_13190,LIMHLO_10765,JEILEN_13560,JBIPMC_13295,PEDMFB_02345,PMCJLP_12055,MIJGKE_02345,JCNBHB_02345,CGGMPE_02345,LOEDCI_13090,FNCLAJ_12330
cvpA,cvpA,CvpA family protein,FHNNJA_11655,CJHMOJ_02965,HCJMML_03570,LIMHLO_02560,JEILEN_03575,JBIPMC_03610,PEDMFB_11775,PMCJLP_03350,MIJGKE_11775,JCNBHB_11785,CGGMPE_11485,LOEDCI_03585,FNCLAJ_03355
group_279,rfaJ,Lipopolysaccharide biosynthesis protein LPS:glycosyltransferase,FHNNJA_06355,CJHMOJ_08015,HCJMML_08440,LIMHLO_07315,JEILEN_08775,JBIPMC_08520,PEDMFB_06735,PMCJLP_08185,MIJGKE_06740,JCNBHB_06740,CGGMPE_06735,LOEDCI_08415,FNCLAJ_08180
group_278,,Group-Specific protein,FHNNJA_00420,CJHMOJ_00420,HCJMML_00390,LIMHLO_00405,JEILEN_00395,JBIPMC_00390,PEDMFB_00385,PMCJLP_00420,MIJGKE_00385,JCNBHB_00385,CGGMPE_00385,LOEDCI_00720,FNCLAJ_00420
soxR,soxR,DNA-binding transcriptional regulator MerR family,FHNNJA_04975,CJHMOJ_09465,HCJMML_10130,LIMHLO_08315,JEILEN_10415,JBIPMC_10220,PEDMFB_05135,PMCJLP_09320,MIJGKE_05140,JCNBHB_05140,CGGMPE_05135,LOEDCI_10610,FNCLAJ_09585
group_277,rimI,Ribosomal protein S18 acetylase RimI and related acetyltransferases,FHNNJA_10960,CJHMOJ_03740,HCJMML_04250,LIMHLO_03255,JEILEN_04230,JBIPMC_04295,PEDMFB_11100,PMCJLP_04045,MIJGKE_11100,JCNBHB_11110,CGGMPE_10810,LOEDCI_04225,FNCLAJ_04050
group_276,,DUF3324 domain-containing protein,FHNNJA_02665,CJHMOJ_12235,HCJMML_13195,LIMHLO_10770,JEILEN_13565,JBIPMC_13300,PEDMFB_02340,PMCJLP_12060,MIJGKE_02340,JCNBHB_02340,CGGMPE_02340,LOEDCI_13095,FNCLAJ_12335
atpA,atpA,V-type ATP synthase alpha chain,FHNNJA_07915,CJHMOJ_06505,HCJMML_06950,LIMHLO_05855,JEILEN_07225,JBIPMC_07025,PEDMFB_08260,PMCJLP_06680,MIJGKE_08265,JCNBHB_08265,CGGMPE_08260,LOEDCI_06870,FNCLAJ_06675
glmS,glmS,glutamine--fructose-6-phosphate transaminase (isomerizing),FHNNJA_05635,CJHMOJ_09110,HCJMML_09770,LIMHLO_07970,JEILEN_10065,JBIPMC_09860,PEDMFB_05485,PMCJLP_08965,MIJGKE_05490,JCNBHB_05490,CGGMPE_05485,LOEDCI_09930,FNCLAJ_09230
group_266,uvrA;,Excinuclease UvrABC ATPase subunit;Excinuclease ABC A subunit;ATP-binding cassette domain-containing protein;hypothetical protein,FHNNJA_10055,CJHMOJ_04325,HCJMML_04920,LIMHLO_03850,JEILEN_04920,JBIPMC_04975,PEDMFB_10240;PEDMFB_10245;PEDMFB_10235,PMCJLP_04625,MIJGKE_10245;MIJGKE_10240,JCNBHB_10250;JCNBHB_10245;JCNBHB_10255,CGGMPE_10250;CGGMPE_10245;CGGMPE_10240,LOEDCI_04825,FNCLAJ_04630
